site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Deans Yard, South Road, Baldock",yes,,2017-12-31,,0.32,20,20,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR1,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,2017-12-31
"Land at Icknield Way, Baldock",yes,,2017-12-31,,0.52,26,26,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR2,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,2017-12-31
"Station Road/Royston Road, Baldock",yes,,2017-12-31,,0.44,50,50,"Residential development of 50 units comprising 4 x 3 bedroom dwellings; 29 x 2 bedroom flats and 17 x 1 bedroom flats, with associated car parking, landscaping and ancillary works.",local-authority-eng:NHE,not owned by a public authority,2016-08-05,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV5LKID950&activeTab=summary,permissioned,full planning permission,BR3,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,2017-12-31
"Hadrian Way, Baldock",yes,,2017-12-31,,0.66,12,12,"Change of use from B1/C2/D1 to residential involving conversion of existing building, demolition of existing outbuildings and erection of a single storey building to form 12 residential units comprising 4 x 2 bedroom flats and 8 x 3 bedroom flats with associated garages, parking and ancillary works.",local-authority-eng:NHE,not owned by a public authority,2016-02-22,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID794&activeTab=summary,permissioned,full planning permission,BR4,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,2017-12-31
"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",yes,,2017-12-31,,0.68,60,60,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR5,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,2017-12-31
"Centre for the Arts, Willian Road, Hitchin",yes,,2017-12-31,,1.03,85,85,"Residential development of 85 dwellings comprising 6 apartment blocks to accommodate 75 x 1 and 2 bedroom apartments together with two terraces of 3 x 3 bed houses and 1 terrace of 4 x 3 bed houses; provision of 120 parking spaces, associated landscaping and vehicular access from Cambridge Road, Willian Road and Hampden Road following demolition of existing college building.",local-authority-eng:NHE,not owned by a public authority,2016-05-12,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID794&activeTab=summary,permissioned,full planning permission,BR6,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,2017-12-31
"Industrial area, Cooks Way, Hitchin",yes,,2017-12-31,,0.73,18,18,"3-storey residential development comprising 8 x 1-bed and 10 x 2-bed flats together with associated amenity space, parking, cycle shed and refuge store.",local-authority-eng:NHE,not owned by a public authority,2016-06-10,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID907&activeTab=summary,permissioned,full planning permission,BR7,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,2017-12-31
"Chas Lowe, London Road, Knebworth",yes,,2017-12-31,,0.41,14,14,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR8,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,2017-12-31
"Pixmore Centre, Pixmore Avenue, Letchworth",yes,,2017-12-31,,0.39,31,31,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR9,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Freeman House, Radburn Way, Letchworth",yes,,2017-12-31,,0.31,8,8,Outline application (all matters reserved except access) for a residential development comprising of 8 dwellings including new access from Radburn Way following demolition of existing elderly persons' home,local-authority-eng:NHE,owned by a public authority,2016-08-25,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYUZLKID974&activeTab=summary,permissioned,outline planning permission,BR10,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Foundation House, Icknield Way, Letchworth",yes,,2017-12-31,,0.78,47,47,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR11,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Glebe Road industrial estate, Letchworth",yes,,2017-12-31,,0.26,10,10,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR12,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Hamonte, Letchworth",yes,,2017-12-31,,1.16,30,30,"3/4 storey building to provide 71 x 2-bedroom assisted living apartments together with communal facility and amenity area, provision of refuse & cycle store and 76 parking spaces for residents, staff and visitors and all associated works following demolition of existing 39 unit sheltered apartment scheme.",local-authority-eng:NHE,not owned by a public authority,2017-05-26,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV2LKID807&activeTab=summary,permissioned,full planning permission,BR13,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Nursery, Icknield Way, Letchwoth",yes,,2017-12-31,,0.43,8,8,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR14,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Site at Birds Hill, Letchworth",yes,,2017-12-31,,0.6,48,48,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR15,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Garages, Icknield Way, Letchworth",yes,,2017-12-31,,0.69,25,25,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR16,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Former Depot, Icknield Way, Letchworth",yes,,2017-12-31,,0.92,55,55,,local-authority-eng:NHE,mixed ownership,,,Not permissioned,,BR17,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
"Land at Birds Hill, Letchworth",yes,,2017-12-31,,1.07,86,86,,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,BR18,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,2017-12-31
