row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,77
1,NetDwellingsRangeTo,default,77
1,LastUpdatedDate,default,2018-05-22
2,NetDwellingsRangeFrom,default,21
2,NetDwellingsRangeTo,default,21
2,LastUpdatedDate,default,2018-05-22
3,NetDwellingsRangeFrom,default,11
3,NetDwellingsRangeTo,default,11
3,LastUpdatedDate,default,2018-05-22
4,NetDwellingsRangeFrom,default,12
4,NetDwellingsRangeTo,default,12
4,LastUpdatedDate,default,2018-05-22
5,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeTo,default,6
5,LastUpdatedDate,default,2018-05-22
6,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeTo,default,8
6,LastUpdatedDate,default,2018-05-22
7,NetDwellingsRangeFrom,default,68
7,NetDwellingsRangeTo,default,68
7,LastUpdatedDate,default,2018-05-22
8,NetDwellingsRangeFrom,default,12
8,NetDwellingsRangeTo,default,12
8,LastUpdatedDate,default,2018-05-22
9,NetDwellingsRangeFrom,default,14
9,NetDwellingsRangeTo,default,14
9,LastUpdatedDate,default,2018-05-22
10,NetDwellingsRangeFrom,default,8
10,NetDwellingsRangeTo,default,8
10,LastUpdatedDate,default,2018-05-22
11,NetDwellingsRangeFrom,default,9
11,NetDwellingsRangeTo,default,9
11,LastUpdatedDate,default,2018-05-22
12,NetDwellingsRangeFrom,default,8
12,NetDwellingsRangeTo,default,8
12,LastUpdatedDate,default,2018-05-22
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
13,LastUpdatedDate,default,2018-05-22
14,NetDwellingsRangeFrom,default,10
14,NetDwellingsRangeTo,default,10
14,LastUpdatedDate,default,2018-05-22
15,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeTo,default,5
15,LastUpdatedDate,default,2018-05-22
16,NetDwellingsRangeFrom,default,42
16,NetDwellingsRangeTo,default,42
16,LastUpdatedDate,default,2018-05-22
17,NetDwellingsRangeFrom,default,8
17,NetDwellingsRangeTo,default,8
17,LastUpdatedDate,default,2018-05-22
18,NetDwellingsRangeFrom,default,5
18,NetDwellingsRangeTo,default,5
18,LastUpdatedDate,default,2018-05-22
19,NetDwellingsRangeFrom,default,41
19,NetDwellingsRangeTo,default,41
19,LastUpdatedDate,default,2018-05-22
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
20,LastUpdatedDate,default,2018-05-22
21,NetDwellingsRangeFrom,default,11
21,NetDwellingsRangeTo,default,11
21,LastUpdatedDate,default,2018-05-22
22,NetDwellingsRangeFrom,default,1000
22,NetDwellingsRangeTo,default,1000
22,LastUpdatedDate,default,2018-05-22
23,NetDwellingsRangeFrom,default,41
23,NetDwellingsRangeTo,default,41
23,LastUpdatedDate,default,2018-05-22
24,NetDwellingsRangeFrom,default,14
24,NetDwellingsRangeTo,default,14
24,LastUpdatedDate,default,2018-05-22
25,NetDwellingsRangeFrom,default,70
25,NetDwellingsRangeTo,default,70
25,LastUpdatedDate,default,2018-05-22
26,NetDwellingsRangeFrom,default,8
26,NetDwellingsRangeTo,default,8
26,LastUpdatedDate,default,2018-05-22
27,NetDwellingsRangeFrom,default,6
27,NetDwellingsRangeTo,default,6
27,LastUpdatedDate,default,2018-05-22
28,NetDwellingsRangeFrom,default,42
28,NetDwellingsRangeTo,default,42
28,LastUpdatedDate,default,2018-05-22
29,NetDwellingsRangeFrom,default,20
29,NetDwellingsRangeTo,default,20
29,LastUpdatedDate,default,2018-05-22
30,NetDwellingsRangeFrom,default,100
30,NetDwellingsRangeTo,default,100
30,LastUpdatedDate,default,2018-05-22
31,NetDwellingsRangeFrom,default,27
31,NetDwellingsRangeTo,default,27
31,LastUpdatedDate,default,2018-05-22
32,NetDwellingsRangeFrom,default,26
32,NetDwellingsRangeTo,default,26
32,LastUpdatedDate,default,2018-05-22
33,NetDwellingsRangeFrom,default,10
33,NetDwellingsRangeTo,default,10
33,LastUpdatedDate,default,2018-05-22
34,NetDwellingsRangeFrom,default,70
34,NetDwellingsRangeTo,default,70
34,LastUpdatedDate,default,2018-05-22
35,NetDwellingsRangeFrom,default,36
35,NetDwellingsRangeTo,default,36
35,LastUpdatedDate,default,2018-05-22
36,NetDwellingsRangeFrom,default,80
36,NetDwellingsRangeTo,default,80
36,LastUpdatedDate,default,2018-05-22
37,NetDwellingsRangeFrom,default,50
37,NetDwellingsRangeTo,default,50
37,LastUpdatedDate,default,2018-05-22
38,NetDwellingsRangeFrom,default,150
38,NetDwellingsRangeTo,default,150
38,LastUpdatedDate,default,2018-05-22
39,NetDwellingsRangeFrom,default,50
39,NetDwellingsRangeTo,default,50
39,LastUpdatedDate,default,2018-05-22
40,NetDwellingsRangeFrom,default,20
40,NetDwellingsRangeTo,default,20
40,LastUpdatedDate,default,2018-05-22
41,NetDwellingsRangeFrom,default,30
41,NetDwellingsRangeTo,default,30
41,LastUpdatedDate,default,2018-05-22
42,NetDwellingsRangeFrom,default,85
42,NetDwellingsRangeTo,default,85
42,LastUpdatedDate,default,2018-05-22
43,NetDwellingsRangeFrom,default,5
43,NetDwellingsRangeTo,default,5
43,LastUpdatedDate,default,2018-05-22
44,NetDwellingsRangeFrom,default,16
44,NetDwellingsRangeTo,default,16
44,LastUpdatedDate,default,2018-05-22
45,NetDwellingsRangeFrom,default,5
45,NetDwellingsRangeTo,default,5
45,LastUpdatedDate,default,2018-05-22
46,NetDwellingsRangeFrom,default,100
46,NetDwellingsRangeTo,default,100
46,LastUpdatedDate,default,2018-05-22
47,NetDwellingsRangeFrom,default,5
47,NetDwellingsRangeTo,default,5
47,LastUpdatedDate,default,2018-05-22
48,NetDwellingsRangeFrom,default,30
48,NetDwellingsRangeTo,default,30
48,LastUpdatedDate,default,2018-05-22
