name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
UT019,"Haulage Depot, St Thomas's Road",yes,,2020-03-25,,0.4,15,15,Haulage Depot. Completions expected on site within 5 years.,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.911731 53.502805),UT019,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/UT019
LE071A,"Former reservoirs off, Land at Bridge End, Macclesfield Road",yes,,2020-03-25,,1.1,11,11,Has outline planning permission for 11 dwellings granted at appeal 5/11/2014. Completions expected on site within 5 years,local-authority-eng:STF,not owned by a public authority,2018-03-15,,permissioned,outline planning permission,POINT(-2.040834 53.113255),LE071A,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/LE071A
LE066,"Kniveden Hall and Springhill, Mount Road",,,2020-03-25,,3.5,50,50,Care home in wooded grounds,local-authority-eng:STF,owned by a public authority,,,not permissioned,,POINT(-2.00214 53.106466),LE066,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/LE066
LE073,"Portland Mill, Portland Street",yes,,2020-03-25,,0.46,49,49,Demolition of Mill and creation of 49 retirement apartments - under construction,local-authority-eng:STF,not owned by a public authority,2017-08-30,,permissioned,full planning permission,POINT(-2.016988 53.107076),LE073,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/LE073
BD055,"Site of former, Meadows School, Tunstall Road",yes,,2020-03-25,,0.66,20,20,Former school now derelict. Completions expected on site within 5 years,local-authority-eng:STF,owned by a public authority,,,not permissioned,,POINT(-2.179966 53.387526),BD055,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/BD055
BD102,"Minster Mill, Walley Street",yes,,2020-03-25,,0.28,42,42,Underused retail & employment site. Completions expected on site within 5 years,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.175088 53.11876),BD102,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/BD102
CH014,"Hurst Yard, Meadow Drive / Bank Street",yes,26/02/2019,2020-03-25,,0.95,42,42,Now complete - all social rented.,local-authority-eng:STF,not owned by a public authority,2015-02-27,,permissioned,full planning permission,POINT(-1.989264 52.985185),CH014,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/CH014
CH015,"Stoddards Depot, Leek Road",yes,,2020-03-25,,0.8,32,32,Coach Depot and Oil Depot Yard. Completions expected on site within 5 years,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.986105 52.990209),CH015,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/CH015
CH020,"Land north of, The Green",yes,,2020-03-25,,1.2,42,42,Mixed Use Site. Completions expected on site within 5 years,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.005827 52.984133),CH020,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/CH020
LE151,"Compton Mill, Compton Street",yes,,2020-03-25,,0.36,57,57,Planning permission for apartments age 55+ with care,local-authority-eng:STF,not owned by a public authority,2017-11-19,,permissioned,full planning permission,POINT(-2.02444 53.103578),LE151,https://www.staffsmoorlands.gov.uk/media/4698/Brownfield-Register/pdf/SMDC_Brownfield_Land_Register_2019_Maps.pdf?m=1576509255197,2017-01-12,/brownfield-land/local-authority-eng/STF/LE151
