name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR1,"Dell Mount, Bedford Road, Houghton Regis",,,2019-10-11,,0.75,20,10,Redevelopment to provide approx. 20-25 dwellings,local-authority-eng:CBF,not owned by a public authority,,,Not Permissioned,,POINT(-0.524563 51.908063),BR1,,2016-07-18,/brownfield-land/local-authority-eng/CBF/BR1
BR2,"Henlow Greyhound Stadium, Bedford Road, Lower Stondon",,,2019-10-11,,2.85,65,40,Erection of up to 77 dwellings,local-authority-eng:CBF,not owned by a public authority,,,Not Permissioned,,POINT(-0.307983 52.008922),BR2,,2016-07-18,/brownfield-land/local-authority-eng/CBF/BR2
BR3,"Meppershall Nursing Home, Shefford Road, Meppershall",,,2019-10-11,,1.1,44,30,Erection of between 30-40 dwellings,local-authority-eng:CBF,not owned by a public authority,,,Not Permissioned,,POINT(-0.334809 52.022998),BR3,,2016-07-18,/brownfield-land/local-authority-eng/CBF/BR3
BR4,"Former Interbrew, Eastern Avenue Industrial Estate, Eastern Avenue, Dunstable",,,2019-10-11,,3.19,120,80,Erection of 100 dwellings,local-authority-eng:CBF,not owned by a public authority,2016-08-31,,permissioned,outline planning permission,POINT(-0.505483 51.885937),BR4,,2016-07-18,/brownfield-land/local-authority-eng/CBF/BR4
BR5,"Peckworth Industrial Estate, Bedford Road, Lower Stondon",,,2019-10-11,,0.38,15,10,Allocated site for 13 dwellings,local-authority-eng:CBF,not owned by a public authority,,,Not Permissioned,,POINT(-0.305035 52.00673),BR5,,2016-07-18,/brownfield-land/local-authority-eng/CBF/BR5
BR6,"Flitwick Leisure Centre Site, Steppingley Road, Flitwick",,,2019-10-11,,2.792,95,66,Erection of 72 dwellings,local-authority-eng:CBF,not owned by a public authority,2014-09-11,,permissioned,outline planning permission,POINT(-0.506608 52.008847),BR6,,2018-11-19,/brownfield-land/local-authority-eng/CBF/BR6
BR7,"Harlington Station Yard, Station Road, Harlington",,,2019-10-11,,0.85,50,30,Erection of 45 dwellings,local-authority-eng:CBF,not owned by a public authority,,,pending decision,reserved matters approval,POINT(-0.49486 51.961187),BR7,,2018-11-19,/brownfield-land/local-authority-eng/CBF/BR7
BR8,"A 5 Salvage Works, Watling Street, Hockliffe, Leighton Buzzard,",,,2019-10-11,,2.03,14,9,Erection of 12 dwellings,local-authority-eng:CBF,not owned by a public authority,2017-06-28,,permissioned,full planning permission,POINT(-0.559733 51.914325),BR8,,2018-11-19,/brownfield-land/local-authority-eng/CBF/BR8
BR9,"37 & 39 High Street South, Dunstable, LU6 3RZ, Dunstable",,,2019-10-11,,0.57,14,5,Erection of 10 self-contained flats,local-authority-eng:CBF,not owned by a public authority,2017-06-21,,permissioned,full planning permission,POINT(-0.519041 51.885029),BR9,,2018-11-19,/brownfield-land/local-authority-eng/CBF/BR9
BR10,Wixams (original Site),,,2019-10-11,,6.8,250,180,Reserved matters following permission of CB/11/02181/VOC for 217 dwellings,local-authority-eng:CBF,not owned by a public authority,2017-09-14,,permissioned,reserved matters approval,POINT(-0.482702 52.079798),BR10,,2018-12-07,/brownfield-land/local-authority-eng/CBF/BR10
BR11,"Hampden house, Hitchin Road, Arlesey",,,2019-10-11,,0.27,52,37,Erection of 41 dwellings,local-authority-eng:CBF,not owned by a public authority,2018-05-10,,permissioned,other,POINT(-0.266838 52.00283),BR11,,2018-12-07,/brownfield-land/local-authority-eng/CBF/BR11
BR12,"Linpac GPG International, Luton Road, Dunstable",,,2019-10-11,,3.19,120,80,Erection of 100 dwellings,local-authority-eng:CBF,not owned by a public authority,2016-08-31,,not permissioned,other,POINT(-0.503738 51.886409),BR12,,2019-10-11,/brownfield-land/local-authority-eng/CBF/BR12
BR13,"Land at Taylors Road, Stotfold",,,2019-10-11,,1.02,37,26,Erection of 32 dwellings,local-authority-eng:CBF,not owned by a public authority,2018-09-13,,permissioned,full planning permission,POINT(-0.225335 52.024107),BR13,,2018-12-07,/brownfield-land/local-authority-eng/CBF/BR13
BR14,"2 mayfields, Shefford",,,2019-10-11,,0.3,14,7,Erection 10 Dwellings,local-authority-eng:CBF,not owned by a public authority,2018-07-06,,permissioned,full planning permission,POINT(-0.330078 52.038487),BR14,,2018-12-07,/brownfield-land/local-authority-eng/CBF/BR14
BR15,"Ashton Square Car Park, Dunstable",,,2019-10-11,,,,,Site will come forward through Dunstable Masterplan,local-authority-eng:CBF,owned by a public authority,,,Not Permissioned,,POINT(-0.520473 51.885209),BR15,,2019-10-11,/brownfield-land/local-authority-eng/CBF/BR15
BR16,"Priory House Gardens, Dunstable",,,2019-10-11,,,,,Site will come forward through Dunstable Masterplan,local-authority-eng:CBF,owned by a public authority,,,Not Permissioned,,POINT(-0.518807 51.885512),BR16,,2019-10-11,/brownfield-land/local-authority-eng/CBF/BR16
BR17,Redevelopment of Wilkinson's Area,,,2019-10-11,,,,,Site will come forward through Dunstable Masterplan,local-authority-eng:CBF,owned by a public authority,,,Not Permissioned,,,BR17,,2019-10-11,/brownfield-land/local-authority-eng/CBF/BR17
