name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SKB0001,"Mercury Garage, 185 Moss Lane, Bramhall, Stockport, SK7 1BA",yes,,2017-12-21,,0.14,6,6,,local-authority-eng:SKP,not owned by a public authority,2017-03-30,,permissioned,full planning permission,POINT(-2.169097 53.3578),SKB0001,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0001
SKB0002,"Sim Chem House, Warren Road, Cheadle Hulme, Stockport, SK8 5BR",yes,,2017-12-21,,0.66,184,184,,local-authority-eng:SKP,not owned by a public authority,2017-01-03,,permissioned,Other,POINT(-2.187657 53.377128),SKB0002,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0002
SKB0003,"101-107 Buxton Road, Heaviley, Stockport, SK2 6LR",yes,,2017-12-21,,0.06,10,10,,local-authority-eng:SKP,not owned by a public authority,2016-02-09,,permissioned,full planning permission,POINT(-2.148825 53.395344),SKB0003,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0003
SKB0004,"15-17 Bridge Street, Stockport, SK1 1XR",yes,,2017-12-21,,0.02,6,6,,local-authority-eng:SKP,not owned by a public authority,2016-10-03,,permissioned,full planning permission,POINT(-2.157553 53.412167),SKB0004,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0004
SKB0005,"250 Wellington Road South, Heaviley, Stockport, SK2 6NW",yes,,2017-12-21,,0.04,9,9,,local-authority-eng:SKP,not owned by a public authority,2016-11-13,,permissioned,Other,POINT(-2.154262 53.399423),SKB0005,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0005
SKB0006,"2-6 Churchgate, Town Centre, Stockport, SK1 1YA",yes,,2017-12-21,,0.06,22,22,,local-authority-eng:SKP,not owned by a public authority,2015-04-28,,permissioned,full planning permission,POINT(-2.15594 53.410805),SKB0006,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0006
SKB0007,"265 Edgeley Road, Edgeley, Stockport, SK3 0TR",yes,,2017-12-21,,0.12,8,8,,local-authority-eng:SKP,not owned by a public authority,,,not permissioned,,POINT(-2.184228 53.398842),SKB0007,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0007
SKB0008,"32-36 Lower Hillgate, Stockport, SK1 1JE",yes,,2017-12-21,,0.02,21,21,,local-authority-eng:SKP,not owned by a public authority,2016-07-04,,permissioned,outline planning permission,POINT(-2.15681 53.410826),SKB0008,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0008
SKB0009,"Adswood Road/Siddington Avenue, Stockport, SK3 8LF",yes,,2017-12-21,,1.95,67,67,,local-authority-eng:SKP,not owned by a public authority,,,not permissioned,,POINT(-2.166746 53.392955),SKB0009,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0009
SKB0010,"Adswood Road/Stockholm Road (north of), Stockport, SK3 9QT",yes,,2017-12-21,,0.99,35,35,,local-authority-eng:SKP,not owned by a public authority,,,not permissioned,,POINT(-2.164511 53.395065),SKB0010,https://www.stockport.gov.uk/brownfield/brownfield-land-register,2017-12-21,/brownfield-land/local-authority-eng/SKP/SKB0010
