site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Land north west of Essex County Cricket Ground New Writtle Street Chelmsford,yes,,2017-10-30,,1.12,,,Site stalled,local-authority-eng:CHL,not owned by a public authority,2013-09-17,,permissioned,full planning permission,POINT(0.469213 51.731124),13/00690/ETL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Burrows Electrical Wholesalers Railway Street Chelmsford,yes,,2017-10-30,,0.06,,,,local-authority-eng:CHL,not owned by a public authority,2017-06-28,,permissioned,full planning permission,POINT(0.466625 51.737329),17/00142/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
47 Broomfield Road Chelmsford,yes,,2017-10-30,,0.11,,,Site stalled,local-authority-eng:CHL,not owned by a public authority,2016-09-30,,permissioned,full planning permission,POINT(0.465293 51.738661),16/01145/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Boreham Village Store Main Road Boreham,yes,,2017-10-30,,0.16,,,,local-authority-eng:CHL,not owned by a public authority,2017-05-05,,permissioned,full planning permission,POINT(0.538961 51.761589),17/00240/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Site rear of 139 to 141 Springfield Road Chelmsford,yes,,2017-10-30,,0.03,,,,local-authority-eng:CHL,not owned by a public authority,2017-02-01,,permissioned,full planning permission,POINT(0.480951 51.73549),16/02157/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Land South East of Riverbank Court Shrublands Close Chelmsford,yes,,2017-10-30,,0.08,,,Site stalled,local-authority-eng:CHL,not owned by a public authority,2012-07-25,,permissioned,full planning permission,POINT(0.478597 51.734811),12/00917/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Roadstar Tyre and Exhaust Centre New Writtle Street Chelmsford,yes,,2017-10-30,,0.06,,,,local-authority-eng:CHL,mixed ownership,2017-06-16,,permissioned,full planning permission,POINT(0.470556 51.729728),17/00207/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Land Rear of 132 Brock Hill Runwell,yes,,2017-10-30,,0.18,,,,local-authority-eng:CHL,not owned by a public authority,2017-08-10,,permissioned,full planning permission,POINT(0.516179 51.632227),17/00905/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Site at Park Lane Riding School Park Lane Ramsden Heath,yes,,2017-10-30,,0.38,,,,local-authority-eng:CHL,not owned by a public authority,2017-07-12,,permissioned,full planning permission,POINT(0.471452 51.629814),17/00079/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
The Grange Stock Road Stock,yes,,2017-10-30,,0.35,,,,local-authority-eng:CHL,not owned by a public authority,2017-08-09,,permissioned,full planning permission,POINT(0.438114 51.650539),17/00987/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Buildings rear of Oxney Grove Ongar Road West Writtle,yes,,2017-10-30,,0.06,,,,local-authority-eng:CHL,not owned by a public authority,2017-10-24,,permissioned,full planning permission,POINT(0.403498 51.727154),17/01049/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Site at Crowsheath Farm Hawkswood Road Downham,yes,,2017-11-14,,0.45,,,,local-authority-eng:CHL,not owned by a public authority,2017-11-02,,permissioned,full planning permission,POINT(0.481593 51.645653),17/01074/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-11-06
101A Moulsham Street Chelmsford,yes,,2017-11-27,,0.19,,,,local-authority-eng:CHL,not owned by a public authority,2017-11-23,,permissioned,full planning permission,POINT(0.466692 51.725781),17/01746/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-11-27
CHESS Day Centre St Marks Centre Cottage Place Chelmsford,yes,,2018-01-15,,0.04,,,,local-authority-eng:CHL,not owned by a public authority,2018-01-11,,permissioned,full planning permission,POINT(0.471488 51.735923),17/01191/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2018-01-15
Brock Farm Ingatestone Road Stock Ingatestone,yes,,2018-01-31,,0.5,,,,local-authority-eng:CHL,not owned by a public authority,2018-01-31,,permissioned,full planning permission,POINT(0.419084 51.656958),17/00736/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2018-01-31
Land at the Grange Stock Road Stock,yes,,2018-02-14,,0.15,,,,local-authority-eng:CHL,not owned by a public authority,2018-02-14,,permissioned,full planning permission,POINT(0.437783 51.650834),17/02148/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30
Brook Farm Riding Stables Stock Road Stock,yes,,2018-03-01,,0.77,,,,local-authority-eng:CHL,not owned by a public authority,2018-03-01,,permissioned,full planning permission,POINT(0.437142 51.650487),17/02001/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2018-03-01
Moulsham Home 116-117 Moulsham Street Chelmsford,yes,,2018-03-05,,0.09,,,,local-authority-eng:CHL,not owned by a public authority,2018-03-05,,permissioned,full planning permission,POINT(0.465258 51.725514),18/00047/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2018-03-05
