site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"County Council depot, off Stretton Road, Clay Cross",,,2020-03-31,,1.6,44,44,Former depot buildings have already been demolished following a consent for demolition (15/00599/DEM)|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,owned by a public authority,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPQ11YLIL7F00,not permissioned,,CX/501,https://www.ne-derbyshire.gov.uk/documents/cx-501/download,2017-10-31
"Former Biwaters site, land off Derby Road, Clay Cross",yes,,2020-03-31,,36.46,669,669,"Outline application for a mixed-use development, comprising: residential use (C3), employment-generating uses with employment (B1, B2, B8), local centre (A1, A2, A3, A4 and/or A5), hotel (C1) and/or care home (C2); with associated infrastructure (17/00666/OL) was approved for the whole site in August 2018. The masterplan identified four phases of residential development. Reserved Matters permission has been granted for three phases (1, 3 and 4a) and an application for phase 2 is currently pending. However, Phase 2 is on Greenfield land, therefore overall housing figure on pdl reduced to 669 dwellings. 95 out of 825 dwellings have been completed up to March 2020. |https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument",local-authority-eng:NED,not owned by a public authority,2019-04-10,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORJ55FLIK7700,permissioned,reserved matters approval,CX/1607,https://www.ne-derbyshire.gov.uk/documents/cx-1607/download,2017-10-31
"Bradley Lomas Electrolok Ltd, Church Street, Eckington",,,2020-03-31,,0.97,13,13,"Reserved matters application (18/00358/RM) conditionally approved for the erection of 20 dwellings and associated road and retention, in part, of employment use relating to 13/00176/OL. The north side of the site is Greenfield land and excluded from pdl; the overall housing figure is therefore reduced to 13 dwellings.|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument",local-authority-eng:NED,not owned by a public authority,2019-12-05,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MIXUAHLI2Z000,permissioned,reserved matters approval,ECK/2410,https://www.ne-derbyshire.gov.uk/documents/eck-2410/download,2017-10-31
"65 / 67 Mansfield Road, Highmoor, Killamarsh",yes,,2019-10-31,,0.78,22,22,Planning permission (17/00509/FL) granted for the demolition of warehousing and erection of 22 dwellings. For former outline permission (14/00380/OL) it was considered that very special circumstances do exist in the form of the benefits brought by a comprehensive redevelopment of a vacant site which would not have a significantly greater impact on the Green Belt than the existing built form. An application to discharge conditions is currently pending (19/01060/DISCON).|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,not owned by a public authority,2019-10-17,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OPDTQ7LIJSS00,permissioned,full planning permission,KIL/1603,https://www.ne-derbyshire.gov.uk/documents/kil-1603/download,2017-10-31
"Garages to the rear of 34 - 46 Emmett Carr Lane, Renishaw",,,2020-03-31,,0.2,6,6,https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,owned by a public authority,,,not permissioned,,ECK/1503,https://www.ne-derbyshire.gov.uk/documents/eck-1503/download,2017-10-31
"Former Avenue Coking Works site, Derby Road, Wingerworth",yes,,2020-03-31,,30.97,489,489,"The reserved matters approval (16/00526/RM) is the first phase of re-development for 252 dwellings. This brownfield site is the central part of the larger Avenue Strategic Site which is a mixed-use redevelopment to comprise 13.4 ha of residential use providing 489 dwellings, 2.8 ha of commercial land for employment use, 1.8 ha of land for provision of a primary school, 0.4 ha of land for other community use and formal and informal play and recreation space (13/00386/OL). There have been 32 completions in 2019/20.|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument",local-authority-eng:NED,owned by a public authority,2017-09-19,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O75NHFLIGL200,permissioned,reserved matters approval,WW/1610 (2),https://www.ne-derbyshire.gov.uk/documents/ww-1610-2/download,2017-10-31
"Land at Former Coalite Works, Buttermilk Lane, Bolsover",,,2019-10-31,,14.64,304,304,"Outline planning permission (14/00145/OL) for a 660 dwelling scheme for the re-development of the whole area with associated ancillary uses (local centre, a safeguarded area for a school, children's play areas, green spaces and a Local Habitat Area; time limit for development is before the expiration of 8 years from the date of the permission). This brownfield land represents only the north western part of the scheme in North East Derbyshire. Since planning permission was granted on site, the Government has confirmed proposals for the realignment of the proposed route for HS2, such that it runs through the eastern end of the Coalite site affecting residential development. The impact of this creates significant uncertainty for the approved scheme and the council cannot be confident that the housing development will come forward. However, in light of the proposed realignment of HS2 the developer has applied for an outline application for B1c, B2 and B8 uses (19/00925/OL) which has been conditionally approved on 18 May 2020.|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument",local-authority-eng:NED,not owned by a public authority,2016-10-31,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N0ZIXZLI03L00,permissioned,outline planning permission,ScD/2103,https://www.ne-derbyshire.gov.uk/documents/scd-2103/download,2017-10-31
"Garages at Castle Hill, Eckington",,,2020-03-31,,0.21,7,7,This is a garage site for the re-development of 7 houses.|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,owned by a public authority,,,not permissioned,,ECK/602,https://www.ne-derbyshire.gov.uk/documents/eck-602/download,2017-10-31
"Land to the rear of 181 Chesterfield Road, Holmewood",yes,,2019-10-31,,1.13,25,25,Application to revise site layout plan pursuant of 16/00257/FL for the erection of 25 dwellings granted and s106 completed (17/01354/FL). An application to discharge conditions is currently pending (18/00646/DISCON).|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,not owned by a public authority,2018-08-03,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1929MLILXV00,permissioned,full planning permission,NW/1702,https://www.ne-derbyshire.gov.uk/documents/nw-1702/download,2017-10-31
"The Old Station, Station Road, Killamarsh",yes,,2019-10-31,,0.47,13,13,Resolution to grant planning permission for the erection of 8 semi-detached and 5 detached bungalows (19/00713/FL) by Planning Committee in March 2020 subject to the prior completion of a s106 agreement. Full planning consent (07/00865/FL) was given for the erection of 14 dwellings in 2008 which would have expired in 2011 but was considered that development commenced with the demolition of the station building.|https://www.ne-derbyshire.gov.uk/documents/eb-hou6b-housing-sites-appendix-c/viewdocument,local-authority-eng:NED,not owned by a public authority,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JLSJYZLI43000,pending decision,full planning permission,KIL/2501,https://www.ne-derbyshire.gov.uk/documents/kil-2501/download,2017-10-31
