site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Southgate Moorings, off Southgate Street, Westgate",yes,,2018-12-18,,0.5,40,40,city council owned site. housing development proposed over ground floor uses,local-authority-eng:GLO,owned by a public authority,2010-05-19,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DBOHMLI000,permissioned,full planning permission,GLOSBR018,http://www.gloucester.gov.uk/Documents/GLOSBR018%20%20Southgate%20Moorings.pdf,2017-12-01
"Part of Kings Quarter, Westgate",yes,,2018-12-18,,2.84,80,80,"city council owned site. priority regeneration site for Gloucester City Council, mixed town centre uses including new bus station, retail, housing and student accomodation",local-authority-eng:GLO,owned by a public authority,2017-09-06,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NTC4J0HM04701,permissioned,full planning permission,GLOSBR019,http://www.gloucester.gov.uk/Documents/GLOSBR019%20%20Kings%20Quarter.pdf,2017-12-01
"18 Quay Street, Cathedral Coaches, Westgate",yes,,2018-12-18,,0.09,25,25,"currently in use as a coach hire business, housing development not proposed but site has been considered as part of the Gloucester Housing Zone process",local-authority-eng:GLO,not owned by a public authority,,,not permissioned,,GLOSBR020,http://www.gloucester.gov.uk/Documents/GLOSBR020%20%2018%20Quay%20Street.pdf,2017-12-01
"Gloucester Prison, the Quay, Westgate",yes,,2018-12-18,,1.45,204,204,current application with complex archaeological and historic environment constraints. redevelopment of former prison to provide over 200 dwellings,local-authority-eng:GLO,not owned by a public authority,2018-12-06,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NWGYWEHM04F00,permissioned,full planning permission,GLOSBR021,http://www.gloucester.gov.uk/Documents/GLOSBR021%20%20Gloucester%20Prison.pdf,2017-12-01
"Quayside part of Blackfriars LDO, Quay Street, Westgate",yes,,2018-12-18,,2.9,100,100,student accomodation is currently being constructed on the barbican part of the site and it is likely that the quayside portion 1.7 ha could accommodate a significant number of dwellings at high density if proposed. Flood risk is significant on parts of the site. A residential led Local Development Order for predominantly residential uses with other supporting uses,local-authority-eng:GLO,owned by a public authority,2017-04-21,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010PDHMLI000,permissioned,full planning permission,GLOSBR022,http://www.gloucester.gov.uk/Documents/GLOSBR022%20%20Quayside.pdf,2017-12-01
"Former MOD Oil Storage Depot, off Honeythorn Close, Hempsted, Westgate",yes,,2018-12-18,,4.42,85,85,difficult brownfield site with potential contamination issues. housing development proposed,local-authority-eng:GLO,not owned by a public authority,2017-06-28,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IP9Z2CHM74001,permissioned,outline planning permission,GLOSBR023,http://www.gloucester.gov.uk/Documents/GLOSBR023%20%20Former%20MoD%20Oil%20Storage.pdf,2017-12-01
104 Northgate Street,yes,,2018-12-18,,0.06,20,20,no housing development is currently proposed,local-authority-eng:GLO,owned by a public authority,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010MXHMLI000,not permissioned,,GLOSBR024,http://www.gloucester.gov.uk/Documents/GLOSBR024%20%20104%20Northgate%20Street.pdf,2017-12-01
"12-16 Quay Street, former Lansons, Westgate",yes,,2018-12-18,,0.17,10,10,student housing proposed,local-authority-eng:GLO,not owned by a public authority,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010PYHMLI000,not permissioned,,GLOSBR025,http://www.gloucester.gov.uk/Documents/GLOSBR025%20%2012-16%20Quay%20Street.pdf,2017-12-01
"114 - 118 Eastgate Street, Westgate",yes,,2018-12-18,,0.13,15,15,housing development proposed but not in the short term,local-authority-eng:GLO,not owned by a public authority,,,not permissioned,,GLOSBR026,http://www.gloucester.gov.uk/Documents/GLOSBR026%20%20114-118%20Eastgate%20Street.pdf,2017-12-01
"Land at Monk Meadow Dock, Westgate",yes,,2018-12-18,,4.58,411,411,housing development proposed,local-authority-eng:GLO,not owned by a public authority,2018-11-13,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=LKXOOBHM0DP00,permissioned,reserved matters approval,GLOSBR028,http://www.gloucester.gov.uk/Documents/GLOSBR028%20%20Land%20at%20Monk%20Meadow.pdf,2017-12-01
"Friary House, Southgate Street, Westgate",yes,,2018-12-18,,0.08,24,24,housing development proposed,local-authority-eng:GLO,not owned by a public authority,2017-07-10,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001HXOHMLI000,permissioned,other,GLOSBR029,http://www.gloucester.gov.uk/Documents/GLOSBR029%20%20Friary%20House.pdf,2017-12-01
"The Lodge, 19 Brunswick Square, Westgate",yes,,2018-12-18,,0.14,10,10,housing development permitted,local-authority-eng:GLO,not owned by a public authority,2016-01-08,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00105CHMLI000,permissioned,full planning permission,GLOSBR031,http://www.gloucester.gov.uk/Documents/GLOSBR031%20%20The%20Lodge%20Brunswick%20Square.pdf,2017-12-01
"6 Spa Road, former RAF Club Building, Westgate",yes,,2018-12-18,,0.1,14,14,housing development permitted,local-authority-eng:GLO,not owned by a public authority,2015-07-09,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010HWHMLI000,permissioned,full planning permission,GLOSBR032,http://www.gloucester.gov.uk/Documents/GLOSBR032%20%206%20Spa%20Road.pdf,2017-12-01
"The former Fleece Hotel, off Westgate Street, Greater Blackfriars, Westgate",yes,,2018-12-18,,0.28,30,30,"nothing proposed, but planning concept statement produced in 2012",local-authority-eng:GLO,owned by a public authority,,,not permissioned,,GLOSBR033,http://www.gloucester.gov.uk/Documents/GLOSBR033%20%20The%20Former%20Fleece%20Hotel.pdf,2017-12-01
