site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Oakley House Leicester Street Brighton,yes,,2019-12-09,,0.08,5,5,Added due to response from landowner that site could be developed. Considered min 5 attainable,local-authority-eng:BNH,owned by a public authority,,,not permissioned,,BLR0001,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/blr0001-oakley-house-leicester-street.pdf,2018-12-17
17 Marmion Road Hove,yes,,2019-12-09,,0.07,5,5,Development commenced 201617,local-authority-eng:BNH,not owned by a public authority,2015-11-03,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE257|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE247,permissioned,full planning permission,PP4588,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/pp4588-17-marmion-road-hove.pdf,2017-10-03
20 Sackville Road & 78 Pembroke Crescent Hove,yes,,2019-12-09,,0.07,5,5,Development commenced 201617,local-authority-eng:BNH,not owned by a public authority,2016-03-01,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR63DMXE559,permissioned,full planning permission,PP4653,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/pp4653-20-sackville-road-78-pembroke-crescent-hove.pdf,2017-10-03
19 Oriental Place Brighton,yes,,2019-12-09,,0.01,5,5,Development not started on site 201718,local-authority-eng:BNH,not owned by a public authority,2017-11-14,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?keyVal=ORSGA5DMGSF00&activeTab=summary,permissioned,full planning permission,PP5659,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/pp5659-19-oriental-place-brighton.pdf,2018-11-06
2 - 4 Sackville Road Hove,yes,,2019-12-09,,0.07,5,5,Development commenced 2019,local-authority-eng:BNH,not owned by a public authority,2018-05-02,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OW7I5MDMLCM00,permissioned,full planning permission,PP5771,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP5771%202%20to%204%20Sackville%20Road%20Hove.pdf,2019-12-09
45 Portland Road Hove,yes,,2019-12-09,,0.02,5,5,Development Not Started 2019,local-authority-eng:BNH,not owned by a public authority,2019-03-11,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJDKC8DM0PA00,permissioned,other,PP5925,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP5925%2045%20Portland%20Road%20Hove.pdf,2019-12-09
Gas Works Site Boundary Road Brighton,,,2019-12-16,yes,2.34,340,340,The Gas Works site is included within CPP1 policy DA2 Brighton Marina. The Gas Works Site is an existing Strategic Allocation for business floorspace 85 residential units and some ancillary retail. Land slopes to the south - opportunities for higher density development. Southern part of sites contains non-operational land formally used for storage and production of gas. The northern part of the site is occupied by 2 operational gas holders. The northern part of site is owned by Southern Gas Network plc and use would require decommissioning and removal of gasholders. Owners of site consider there is a reasonable prospect that residential development will take place on the land within 5 years,local-authority-eng:BNH,mixed ownership,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDG5TVDM0PA00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7SDMXE993,not permissioned,,SHLAA0001,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0001-gas-works-site-boundary-road-brighton.pdf,2017-09-18
Land at Brighton Marina (Inner Harbour),,,2019-12-16,,11.52,1000,1000,Brighton Marina & Black Rock Development Area. Strategic Allocation. Adjacent to Local Wildlife Site. No planning app. Call for Sites 2017. No site wide planning history.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0003,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0003-land-at-brighton-marina-inner-harbour.pdf,2017-09-26
Land at Brighton Marina (Outer Harbour),yes,,2019-12-16,,5.33,661,661,Phase 1 complete 201516 (195) Phase 2 (244) Commenced 2016/17. Brighton Marina Inner Harbour is a Strategic Allocation within the DA2 Development Area within CPP1. Call for Sites 2017. Public exhibition for proposed remaining sites Nov 2018. New application for Phase 2 received April 2019 for 480 units,local-authority-eng:BNH,not owned by a public authority,2006-07-04,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PPA1IFDM0PA00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE980|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR67DMXE520|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE556|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR73DMXE858|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR79DMXE336,permissioned,full planning permission,SHLAA0004,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0004-land-at-brighton-marina-outer-harbour.pdf,2017-09-18
Preston Barracks Lewes Road Brighton,yes,,2019-12-16,,1.96,363,363,Development substantially commenced. Strategic Allocation. Planning app BH2017/00492 includes Preston Barracks site as part of wider site including Brighton University Mithras House and Watts sites as part of a the Strategic Allocation within policy DA3 – Lewes Road in CPP1. The Preston Barracks site brings forward the residential requirement of the allocation.,local-authority-eng:BNH,not owned by a public authority,2017-12-22,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL5ZO4DMHIF00,permissioned,full planning permission,SHLAA0014,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0014-preston-barracks-lewes-road-brighton.pdf,2017-09-18
BT Site bottom side Freshfield Road,,,2019-12-16,,0.6,45,45,Eastern Street/Edward Street Development Area. Site currently used by British Telecom (sui generis use) for employment purposes. Existing employment use of the site should be retained on this non designated site.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR75DMXE948,not permissioned,,SHLAA0027,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0027-bt-site-bottom-side-freshfield-road.pdf,2017-09-26
Brighton Youth Centre 64 Edward Street Grosvenor Place,,,2019-12-16,,0.07,11,11,Eastern Street/Edward Street Development Area. Possible ownership constraints. Site protected under policy HO20. Community use to be incorporated into new development,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0028,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0028-brighton-youth-centre-64-edward-street-grosvenor-place.pdf,2017-09-26
Former Municipal Market Circus Street Brighton,yes,,2019-12-16,,0.79,142,142,Development substantially commenced 201819 - Strategic Allocation - Commenced 2015/16,local-authority-eng:BNH,not owned by a public authority,2015-03-19,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR62DMXE124|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZR63DMXE207&activeTab=summary|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZR6BDMXE145&activeTab=summary,permissioned,full planning permission,SHLAA0030,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0030-former-municipal-market-circus-street-brighton.pdf,2017-09-18
Edward St (Amex House),yes,,2019-12-16,,1.8,168,168,Eastern Street/Edward Street Development Area. Call for Sites 2017. The quantity of housing proposed for this site is based upon SPD04 Edward Street Quarter which was adopted in March 2006. There are two options set out in the SPD - Option 1 was selected. Implementation of this scheme is reliant upon the support of Amex. Strategic Allocation Application Submitted,local-authority-eng:BNH,not owned by a public authority,2018-10-25,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P3IQ96DM0P100|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6RDMXE754|https://planningapps.brighton-hove.gov.uk/online-applications/simpleSearchResults.do?action=firstPage|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZR5ZDMXE699&activeTab=summary|http://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE802|http://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE524|http://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6QDMXE171,permissioned,full planning permission,SHLAA0032,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0032-edward-st-amex-house.pdf,2017-09-26
PO Sorting Office Denmark Villas Hove,,,2019-12-16,,0.59,67,67,Added due to response from landowner that site could be developed in 6-10 years. 67 units considered possible to allow for a possible employment element.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0035,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0035-po-sorting-denmark-villas.pdf,2018-12-17
(Smoky Estate) Corner of Church Road Lincoln Road & Gladstone Road Portslade,,,2019-12-16,,0.32,32,32,Emerging City Plan Part 2 Allocation 32 Units,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0041,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0041-smoky-estate-corner-of-church-road-lincoln-road-gladstone-road-portslade.pdf,2017-09-26
King Alfred Kingsway Hove,,,2019-12-16,,1.6,500,500,Strategic Allocation. Pre-Application Stage,local-authority-eng:BNH,owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR71DMXE825,not permissioned,,SHLAA0045,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0045-king-alfred-kingsway-hove.pdf,2017-09-26
12 Richmond Parade Brighton,,,2019-12-16,,0.09,7,7,Call for sites for 7 units SHLAA 2015,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7BDMXE317|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7TDMXE548,not permissioned,,SHLAA0046,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0046-12-richmond-parade-brighton.pdf,2017-09-18
Brighton General Hospital Elm Grove Brighton,,,2019-12-16,,5.77,200,200,Adjacent to Local Wildlife Site. Consultation on plan options May 2018 Preferred Option chosen Oct 2018,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6FDMXE238|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6FDMXE537|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6NDMXE150|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6PDMXE087|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6VDMXE931,not permissioned,,SHLAA0047,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0047-brighton-general-hospital-elm-grove-brighton.pdf,2017-09-26
Manchester Street/Charles Street Brighton,,,2019-12-16,,0.06,12,12,,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0049,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0049-manchester-street-charles-street-brighton.pdf,2017-09-26
Lansdowne Mews Farm Road Hove,,,2019-12-16,,0.08,6,6,Mainly commercial garage small business use. Would need to demonstrated genuinely redundant. Possible access issues.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0052,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0052-lansdowne-mews-farm-road-hove.pdf,2017-09-26
Victoria Grove Second Avenue Hove,,,2019-12-16,,0.13,20,20,Mixed ownership,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0055,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0055-victoria-grove-second-avenue-hove.pdf,2017-09-26
St John's Place First Avenue Hove,,,2019-12-16,,0.11,17,17,Mixed ownership,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0056,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0056-st-johns-place-first-avenue-hove.pdf,2017-09-26
44 - 50 Brunswick Street West Hove,,,2019-12-16,,0.08,6,6,,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0057,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0057-44-50-brunswick-street-west-hove.pdf,2017-09-26
Land south of Lincoln Cottages (Lincoln Cottage Works) 15-26 Lincoln Street Brighton,,,2019-12-16,,0.12,18,18,Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE333|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE333,not permissioned,,SHLAA0075,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0075-land-south-of-lincoln-cottages-15-26-lincoln-street.pdf,2017-09-26
Lee Hire 7-13 Church Place Brighton,,,2019-12-16,,0.07,7,7,Ex garage/petrol sales site & possible land contamination would need investigating.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR71DMXE623,not permissioned,,SHLAA0079,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0079-lee-hire-7-13-church-place-brighton.pdf,2017-09-26
25 Montague Place Brighton,,,2019-12-16,,0.06,6,6,Would result in loss of employment use and would need to demonstrate site genuinely redundant. Possible land contamination would need to be investigated.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0084,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0084-25-montague-place-brighton.pdf,2017-09-26
55 (adj 31Walpole Road) Canning Street Brighton,,,2019-12-16,,0.06,6,6,Loss of employment use,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR71DMXE224|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR73DMXE028,not permissioned,,SHLAA0085,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0085-55-adj-31walpole-road-canning-street-brighton.pdf,2017-09-26
Land and garages at rear of 1 -3 Queensway Southwater Close Brighton,,,2019-12-16,,0.08,9,9,Garage parking area developable,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0086,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0086-land-and-garages-at-rear-of-1-3-queensway-southwater-close-brighton.pdf,2017-09-26
Rear of 31 Appledore Road & 3-5 Halland Road,,,2019-12-16,,0.09,8,8,Garage site owned by council,local-authority-eng:BNH,owned by a public authority,,,not permissioned,,SHLAA0092,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0092-rear-of-31-appledore-road-3-5-halland-road.pdf,2017-09-26
Land west of Homeleigh London Road Brighton,,,2019-12-16,,0.15,23,23,The site is car parking for Homeleigh a block of flats.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0095,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0095-land-west-of-homeleigh-london-road-brighton.pdf,2017-09-26
1 Shelldale Road Portslade,,,2019-12-16,,0.06,6,6,,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0101,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0101-1-shelldale-road-portslade.pdf,2017-09-26
117 Victoria Road Portslade,,,2019-12-16,,0.06,6,6,Current use - Garage,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0103,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0103-117-victoria-road-portslade.pdf,2017-09-27
Former Brewery Site South Street Portslade,yes,,2019-12-16,,0.35,48,48,Development substantially commenced 201819 BH2016/02459.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE418|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR62DMXE129|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR62DMXE134|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR62DMXE131,permissioned,full planning permission,SHLAA0105,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0105-former-brewery-site-south-street-portslade.pdf,2017-09-18
PO Sorting Office Nevill Road Rottingdean Brighton,,,2019-12-16,,0.1,8,8,,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0122,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0122-po-sorting-office-nevill-road-rottingdean-brighton.pdf,2017-09-27
North of Theobald House Blackman Street/Cheapside Whitecross Street Brighton,,,2019-12-16,,0.16,32,32,In a variety of employment type uses but not allocated site. CPP1 Strategic allocation.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0132,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0132-north-of-theobald-house-blackman-street-cheapside-whitecross-street-brighton.pdf,2017-09-27
35-39 The Droveway Hove,yes,,2019-12-16,,0.44,14,14,SHLAA 2015 Call for sites submission. Pre App 2017. Application BH2018/03798 Under Consideration for 14 Resi Units with mixed use Commercial.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJIPRRDMMLK00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0MUAIDMIU700,pending decision,,SHLAA0139,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0139-35-39-the-droveway-hove.pdf,2017-09-18
25 Ditchling Rise/rear of 57-63 Beaconsfield Road Brighton,,,2019-12-16,,0.09,15,15,Beaconsfield car workshops. Loss of employment. Possible land contamination from existing use.,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0143,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0143-25-ditchling-rise-rear-of-57-63-beaconsfield-road.pdf,2017-09-27
Rear of 149 to 163 Preston Road,,,2019-12-16,,0.26,26,26,Car Park for offices on Preston Road and garden area for dwellings.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7ADMXE563,not permissioned,,SHLAA0156,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0156-rear-of-149-to-163-preston-road.pdf,2017-09-27
Studor House 13 Sheridan Terrace Hove,,,2019-12-16,,0.06,9,9,Loss of B1a office site,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0163,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0163-studor-house-13-sheridan-terrace-hove.pdf,2017-09-27
Sackville Trading Estate/Coal Yard Sackville Road,,,2019-12-16,yes,1.77,500,500,PPA Signed April 2017. Pre App discussions. The previous use of the proposed development site as a railway yard and industrial site presents a high risk of contamination that could be mobilised during construction to pollute controlled waters. The east and south sides of the site has some history of contaminative use and this is referenced in the RSK land contamination report of 4/8/17.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PIYQLIDM0PA00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE868|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6VDMXE228,not permissioned,,SHLAA0180,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0180-sackville-trading-estate-coal-yard-sackville-road.pdf,2017-09-18
Preece House 91-103 Davigdor Road Hove,,,2019-12-16,,0.18,14,14,SHLAA 2017 Call for Sites. Part of a wider office complex and mixed employment area close to Hove Station. Modern office layout. Part of Draft CPP2 Strategic Site Allocation 3,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA0185,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0185-preece-house-91-103-davigdor-road-hove.pdf,2017-09-28
138 Dyke Road 35a Chatsworth Road Brighton,,,2019-12-16,,0.26,20,20,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7JDMXE961|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7IDMXE324,not permissioned,,SHLAA0264,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0264-138-dyke-road-35a-chatsworth-road-brighton.pdf,2017-09-28
Saunders Glassworks Sussex Place Brighton,yes,,2019-12-16,,0.14,49,49,Demolition of original buildings 2013/14 no progress since -Being used as coach park.,local-authority-eng:BNH,owned by a public authority,2011-03-18,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE445|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR78DMXE773,permissioned,full planning permission,SHLAA0653,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0653-saunders-glassworks-sussex-place-brighton.pdf,2017-09-18
Patcham Garage Old London Road Patcham,,,2019-12-16,,0.06,6,6,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR75DMXE402|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7SDMXE995,not permissioned,,SHLAA0670,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0670-patcham-garage-old-london-road-patcham.pdf,2017-09-28
Texaco Service Station 133 Kingsway Hove,yes,,2019-12-16,yes,0.13,58,58,Development substantially commenced 201819. 2015 Call for Sites. Commenced 2018,local-authority-eng:BNH,not owned by a public authority,2017-08-18,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE147,permissioned,full planning permission,SHLAA0672,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0672-texaco-service-station-133-kingsway-hove.pdf,2017-09-18
Cadogan Court 134a Dyke Road Brighton,,,2019-12-16,,0.15,11,11,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR71DMXE989,not permissioned,,SHLAA0676,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0676-cadogan-court-134a-dyke-road-brighton.pdf,2017-09-28
City College Pelham Street,,,2019-12-16,,0.63,100,100,Call for Sites 2017. Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6CDMXE930,not permissioned,,SHLAA0677,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0677-city-college-pelham-street.pdf,2017-09-28
Decon Laboratories Conway Street,,,2019-12-16,,0.16,28,28,Council Owned Site,local-authority-eng:BNH,owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR69DMXE635|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR77DMXE537,not permissioned,,SHLAA0758,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0758-decon-laboratories-conway-street.pdf,2017-09-28
Brighton And Hove (Corals) Stadium Nevill Road Hove,,,2019-12-16,,2.49,75,75,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7FDMXE498,not permissioned,,SHLAA0853,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0853-brighton-and-hove-corals-stadium-nevill-road-hove.pdf,2017-09-28
27-31 Church Street Brighton,yes,,2019-12-16,yes,0.12,10,10,Commenced although currently being used as secure gated car park. Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,2013-02-08,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE648|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6FDMXE938|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6JDMXE885|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7GDMXE012|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7KDMXE624,permissioned,full planning permission,SHLAA0858,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa0858-27-31-church-street-brighton.pdf,2017-09-19
